Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Island Park,1,LIBRARIAN I,N,52780.0,
2024,Island Park,2,LIBRARIAN I PART-TIME SUBSTITUTE,N,,22.0
2024,Island Park,3,TREASURER PART-TIME,N,,55.0
2024,Island Park,4,LIBRARIAN 1 PART-TIME,N,,26.25
2024,Island Park,5,LIBRARY DIRECTOR,N,123622.0,
2024,Island Park,6,"ACCOUNT CLERK, PART-TIME",N,,55.0
2024,Island Park,7,"LIBRARIAN 1, PART-TIME",N,,24.0
2024,Island Park,8,ASSISTANT LIBRARY DIRECTOR,N,77003.0,
2024,Island Park,9,LIBRARIAN I PART-TIME,N,,27.05
2024,Island Park,10,LIBRARIAN I PART-TIME,N,,26.25
2024,Island Park,11,SENIOR LIBRARY CLERK,N,,20.75
2024,Island Park,12,TYPIST CLERK PART-TIME,N,,16.5
2024,Island Park,13,SECRETARY TO THE LIBRARY BOARD,N,,25.0
2024,Island Park,14,TYPIST CLERK PART-TIME,N,,18.0
2024,Island Park,15,PRINCIPAL LIBRARY CLERK,N,61370.0,
2024,Island Park,16,LIBRARY AIDE,N,39694.0,
2024,Island Park,17,LIBRARY AIDE PART-TIME,N,,21.3
2024,Island Park,18,TYPIST CLERK PART-TIME,N,,16.75
2024,Island Park,19,SENIOR LIBRARY CLERK,N,,20.75
2024,Island Park,20,PAGE PART-TIME,N,,16.0
2024,Island Park,21,CLEANER,N,,18.65
2024,Island Park,22,CLEANER PART-TIME SUBSTITUTE,N,,16.0
2024,Island Park,23,CUSTODIAN,N,47775.0,
2024,Island Park,24,CLEANER,N,,17.0
